7,8,9,12,13,14,4*10,9*19,9*20,10*20,13*14,14*15,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Activation Barrier (eV),Only two way,only three way,,,,,,
1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0.529,0.427,0.373,,,,,,
0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.393,0.344,0.344,,,,,,
1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0.077,0.29,0.252,,,,,,
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.540,0.53,0.53,,,,,,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220,0.155,0.155,,,,,,
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.461,0.324,0.324,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0.459,0.459,,,,,,
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413,0.341,0.341,,,,,,
0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.336,0.248,0.248,,,,,,
1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0.274,0.267,0.249,,,,,,
0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0.116,0.15,0.095,,,,,,
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.364,0.552,0.552,,,,,,
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.499,0.478,0.478,,,,,,
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.576,0.499,0.499,,,,,,
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.492,0.53,0.53,,,,,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0.374,0.374,,,,,,
0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,-9999.000,0.456,0.456,,,,,,
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.189,0.412,0.412,,,,,,
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.544,0.53,0.53,,,,,,
0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0.132,0.336,0.309,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0.459,0.459,,,,,,
1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0.281,0.494,0.475,,,,,,
1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0.669,0.657,0.639,,,,,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.352,0.352,,,,,,
1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0.357,0.289,0.271,,,,,,
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0.276,0.45,0.385,,,,,,
1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.466,0.398,0.398,,,,,,
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.444,0.324,0.324,,,,,,
1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.386,0.342,0.342,,,,,,
0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0.223,0.47,0.405,,,,,,
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.217,0.359,0.359,,,,,,
0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0.281,0.494,0.494,,,,,,
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.259,0.153,0.153,,,,,,
0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.357,0.268,0.268,,,,,,
