layer_0_weights,layer_0_biases,layer_1_weights,layer_1_biases,layer_2_weights,layer_2_biases
-0.25425252,,-0.0379632,-4.1673422e-05,0.012287043,
0.19476168,,-0.11743463,-0.011666177,-0.022600729,
-0.0831635,,0.24753618,0.042073835,0.07394523,
-0.14625733,,0.022846896,0.016197206,-0.2124215,
0.13696964,,0.15463951,-0.045931246,0.20760232,
0.14518034,,0.049654868,-0.044770963,-0.12331591,
-0.25701526,,0.1926781,-0.0038117934,-0.008416783,
0.10182281,,0.2053854,-0.02686136,0.22758444,
-0.0635046,,0.18925612,-0.039877143,-0.09738564,
-0.18996857,,0.116584584,0.00032531525,0.23639555,
0.26665828,,-0.044564575,0.01949543,-0.0094388155,
0.18172286,,0.073109,,,
0.109416485,,0.12720053,,,
-0.1832023,,0.043654256,,,
0.09951823,,0.061799362,,,
-0.16199042,,0.2014875,,,
-0.26211083,,0.009534656,,,
-0.30726367,,0.12136941,,,
-0.31385407,,-0.078267,,,
-0.0146640865,,0.122108124,,,
-0.047382053,,0.14737248,,,
-0.09480565,,-0.13135153,,,
0.118472576,,0.016652359,,,
0.18427521,,-0.21345593,,,
0.16700208,,-0.09855057,,,
0.2793144,,0.06458601,,,
-0.02430143,,0.0717356,,,
-0.15023214,,0.1693694,,,
0.31985644,,-0.022825487,,,
0.16841279,,-0.16388558,,,
-0.07145668,,0.2155361,,,
-0.014475111,,-0.08329628,,,
0.20391354,,-0.048434492,,,
0.25021163,,-0.1427538,,,
0.1548253,,-0.23903537,,,
-0.13068417,,0.066130206,,,
-0.23694599,,0.15195633,,,
-0.27881727,,0.16748746,,,
-0.23200153,,0.044767395,,,
-0.20736787,,-0.14518018,,,
-0.0884638,,-0.0053466046,,,
0.24579185,,0.009867012,,,
-0.22506803,,0.048046473,,,
-0.23447062,,-0.1183005,,,
0.24746963,,-0.062485386,,,
-0.13448343,,0.1959674,,,
0.24363133,,0.039665043,,,
0.28527185,,0.09846059,,,
-0.20637697,,0.21945536,,,
0.06930846,,-0.06538014,,,
0.08683764,,0.15022482,,,
-0.05280778,,0.15962698,,,
0.0070205,,0.14839077,,,
-0.1548543,,-0.021121008,,,
-0.1968912,,0.16306481,,,
-0.044503342,,-0.18173401,,,
0.33939597,,0.1293249,,,
-0.2229638,,0.2017714,,,
-0.23204474,,0.117197275,,,
0.09613559,,-0.12994897,,,
0.14694221,,-0.0795419,,,
0.19057973,,0.20025842,,,
-0.11537245,,0.064344004,,,
-0.0031652711,,0.05213907,,,
0.14115986,,0.012372416,,,
0.19920552,,0.18103416,,,
0.22045983,,-0.19079594,,,
-0.10832019,,0.049074598,,,
0.1736152,,0.08233532,,,
0.28436944,,0.16688521,,,
-0.15274502,,-0.05150624,,,
0.2344436,,-0.19881023,,,
-0.23654425,,0.117097415,,,
-0.22443426,,-0.22379221,,,
0.18658355,,0.069604576,,,
-0.23115373,,-0.23853719,,,
-0.06056009,,-0.09250542,,,
0.32136664,,0.11368309,,,
-0.23757942,,-0.13333198,,,
-0.009027105,,0.037553184,,,
-0.015479783,,0.028911917,,,
0.16948165,,-0.06205787,,,
-0.0802861,,0.078986794,,,
0.23401451,,-0.19523734,,,
-0.2835982,,-0.19687636,,,
0.060784522,,-0.016246786,,,
0.28503126,,-0.12340375,,,
-0.24794073,,0.22219355,,,
-0.14225726,,-0.16659188,,,
-0.07321365,,-0.19188082,,,
0.18232667,,0.097307496,,,
-0.19697805,,-0.1583011,,,
-0.20394577,,0.18215652,,,
-0.122535124,,0.08740571,,,
-0.10105739,,-0.24377304,,,
-0.14833114,,0.18660365,,,
-0.04455413,,0.20981273,,,
-0.089176275,,0.10523744,,,
0.04123978,,-0.06929727,,,
0.16617192,,-0.21437688,,,
0.24748673,,-0.057338882,,,
-0.12671733,,0.054171167,,,
-0.017448543,,0.049717985,,,
-0.127995,,0.0076298057,,,
0.12146024,,0.09132081,,,
-0.28597274,,-0.13911864,,,
-0.13704146,,0.08039863,,,
-0.18630238,,-0.21706408,,,
0.11504267,,-0.24081679,,,
-0.1882234,,0.061773755,,,
-0.13214749,,0.074368745,,,
0.099212185,,0.14639066,,,
-0.03650198,,0.15833414,,,
0.23405081,,-0.16917072,,,
0.30554226,,-0.15810739,,,
0.30195647,,-0.22438501,,,
0.30045956,,-0.06651259,,,
-0.083017826,,-0.1680368,,,
-0.17670268,,-0.16288157,,,
0.31250313,,0.09002268,,,
0.22643238,,-0.1571274,,,
-0.16917191,,-0.24192467,,,
0.2835052,,-0.21489877,,,
0.12659843,,-0.08909945,,,
0.29352322,,-0.14469522,,,
-0.0176575,,0.11713888,,,
-0.021797298,,0.016620807,,,
-0.21848798,,-0.21191598,,,
-0.19952956,,0.11977787,,,
-0.21213539,,-0.186798,,,
