8,10,14,15,4*10,8*9,9*10,9*19,9*20,10*14,10*20,13*14,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Actual Energy,energy-only two way,energy-three way,three way-actual,two way-actual
0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0.501,0.507,0.434,0.067,0.006
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.764,0.756,0.756,0.008,0.008
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.444,0.444,0.006,0.006
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0.483,0.483,0.008,0.008
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492,0.496,0.496,0.004,0.004
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.796,0.795,0.795,0.001,0.001
0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0.512,0.507,0.434,0.078,0.005
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0.265,0.265,0.004,0.004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492,0.496,0.496,0.004,0.004
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.804,0.795,0.795,0.009,0.009
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.724,0.724,0.004,0.004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489,0.496,0.496,0.007,0.007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0.496,0.496,0.005,0.005
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.172,0.166,0.166,0.006,0.006
1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0.539,0.537,0.517,0.022,0.002
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488,0.483,0.483,0.005,0.005
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.828,0.83,0.81,0.018,0.002
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.613,0.616,0.616,0.003,0.003
0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0.545,0.551,0.478,0.067,0.006
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488,0.483,0.483,0.005,0.005
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0.174,0.174,0.009,0.009
1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0.332,0.34,0.267,0.065,0.008
1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.448,0.458,0.458,0.01,0.01
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823,0.815,0.815,0.008,0.008
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.514,0.515,0.515,0.001,0.001
1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0.596,0.605,0.512,0.084,0.009
1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.553,0.554,0.554,0.001,0.001
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0.265,0.265,0.008,0.008
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.802,0.795,0.795,0.007,0.007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498,0.496,0.496,0.002,0.002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0.496,0.496,0.001,0.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531,0.535,0.535,0.004,0.004
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2,0.196,0.196,0.004,0.004
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.219,0.22,0.22,0.001,0.001
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0.815,0.815,0.004,0.004
1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0.615,0.613,0.552,0.063,0.002
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0.289,0.289,0.008,0.008
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0.535,0.535,0.002,0.002
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.498,0.498,0.498,0,0
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.222,0.22,0.22,0.002,0.002
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.499,0.491,0.491,0.008,0.008
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.444,0.444,0.008,0.008
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.608,0.616,0.616,0.008,0.008
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0.724,0.724,0.005,0.005
